state,no.d,no.r,total,pct.d
alabama,1,6,7,0.14
alaska,0,1,1,0
arizona,4,5,9,0.44
arkansas,0,4,4,0
california,39,14,53,0.74
colorado,3,4,7,0.43
connecticut,5,0,5,1
delaware,1,0,1,1
florida,10,17,27,0.37
georgia,4,10,14,0.29
hawaii,2,0,2,1
idaho,0,2,2,0
illinois,10,8,18,0.56
indiana,2,7,9,0.22
iowa,1,3,4,0.25
kansas,0,4,4,0
kentucky,1,5,6,0.17
kentucky,1,5,6,0.17
louisiana,1,5,6,0.17
maine,1,1,2,0.5
maryland,7,1,8,0.88
massachusetts,9,0,9,1
michigan,5,9,14,0.36
minnesota,5,3,8,0.63
mississippi,1,3,4,0.25
missouri,2,6,8,0.25
montana,0,1,1,0
nebraska,1,2,3,0.33
nevada,1,3,4,0.25
new hampshire,2,2,4,0.5
new jersey,6,6,12,0.5
new mexico,2,1,3,0.67
new york,18,9,27,0.67
north carolina,3,10,13,0.23
north dakota,0,1,1,0
ohio,4,12,16,0.25
oklahoma,0,5,5,0
oregon,4,1,5,0.8
pennsylvania,5,13,18,0.28
rhode island,2,0,2,1
south carolina,1,6,7,0.14
south dakota,0,1,1,0
tennessee,2,7,9,0.22
texas,11,25,36,0.31
utah,0,4,4,0
vermont,1,0,1,1
virginia,3,8,11,0.27
washington,6,4,10,0.6
west virginia,3,0,3,1
wisconsin,3,5,8,0.38
wyoming,0,1,1,0
